iter	RMSE
142	30445.17453
143	30379.84035
144	30299.8926
145	30222.48709
146	30149.74265
147	30069.7424
148	29998.175
149	29954.30742
150	29903.07605
151	29856.04903
152	29769.10805
153	29721.67102
154	29653.53673
155	29601.06017
156	29526.88032
157	29463.52078
158	29406.11619
159	29362.12515
160	29293.72527
161	29227.88901
162	29179.50823
163	29123.18199
164	29093.08988
165	29031.14345
166	28978.65037
167	28905.32594
168	28855.59793
169	28821.55885
170	28781.77494
171	28730.48334
172	28690.95683
173	28627.32275
174	28567.15323
175	28523.74015
176	28463.28411
177	28412.07728
178	28356.62194
179	28315.41176
180	28284.05227
181	28243.03149
182	28193.70602
183	28156.61623
184	28090.57331
185	28052.51242
186	28009.37922
187	27962.63048
188	27926.76463
189	27882.8026
190	27836.72752
191	27804.97313
192	27761.0972
193	27708.2123
194	27648.7867
195	27611.73056
196	27577.64881
197	27541.7566
198	27499.04321
199	27447.61256
200	27406.61902
201	27346.67367
202	27317.99657
203	27274.57813
204	27240.23109
205	27188.909
206	27151.88664
207	27097.8748
208	27054.2201
209	27020.67664
210	26979.65792
211	26934.73203
212	26883.83293
213	26846.11078
214	26818.63493
215	26779.5908
216	26720.19204
217	26699.55881
218	26668.7332
219	26628.69695
220	26590.90789
221	26534.57191
222	26503.56657
223	26467.00325
224	26430.43223
225	26364.25088
226	26335.30951
227	26306.43349
228	26277.08866
229	26227.83408
230	26204.30008
231	26165.32304
232	26128.21285
233	26096.04895
234	26049.31929
235	25998.99383
236	25940.36695
237	25916.21592
238	25883.90677
239	25859.32055
240	25826.60545
241	25807.31169
242	25773.87812
243	25742.40425
244	25700.47227
245	25672.95044
246	25630.25074
247	25591.93303
248	25549.12172
249	25519.91475
250	25485.38323
251	25448.85337
252	25417.68492
253	25371.54612
254	25321.3519
255	25277.59554
256	25248.24698
257	25211.58231
258	25148.71065
259	25127.85409
260	25101.71868
261	25076.72864
262	25043.71044
263	25016.92815
264	24986.17067
265	24962.26739
266	24935.30778
267	24898.98351
268	24868.61718
269	24843.10805
270	24816.15369
271	24794.17346
272	24763.2631
273	24724.71818
274	24692.70044
275	24666.65139
276	24649.91981
277	24621.69176
278	24607.27251
279	24560.75596
280	24524.99058
281	24486.23996
282	24461.70858
283	24431.09996
284	24409.93723
285	24356.29025
286	24325.55345
287	24279.50238
288	24256.83227
289	24214.21004
290	24189.55963
291	24173.27891
292	24126.94781
293	24074.94619
294	24028.68691
295	23990.63151
296	23986.06445
297	23946.96716
298	23898.4141
299	23863.07391
300	23845.29607
301	23805.95416
302	23767.90004
303	23738.05832
304	23700.90269
305	23691.06643
306	23640.65605
307	23601.10269
308	23580.74249
309	23555.10938
310	23550.47747
311	23520.22266
312	23496.15698
313	23453.32649
314	23429.00733
315	23419.58457
316	23380.74697
317	23338.58577
318	23334.21245
319	23302.16394
320	23298.12997
321	23261.80782
322	23237.31786
323	23213.50983
324	23189.53655
325	23154.79753
326	23150.63993
327	23105.47758
328	23101.31444
329	23081.33569
330	23049.24072
331	23031.26323
332	23027.04524
333	22986.50171
334	22953.15031
335	22941.89639
336	22901.79131
337	22865.24027
338	22825.59529
339	22784.27894
340	22740.99727
341	22736.8631
342	22733.13682
343	22691.81375
344	22657.19143
345	22653.1933
346	22636.87086
347	22614.98487
348	22611.39877
349	22577.28862
350	22533.1513
351	22502.48225
352	22466.48408
353	22431.39612
354	22428.5205
355	22404.48167
356	22387.78225
357	22384.41307
358	22380.42587
359	22364.237
360	22329.13579
361	22299.73116
362	22268.63152
363	22236.86996
364	22206.11337
365	22172.66203
366	22145.32483
367	22117.54033
368	22114.03001
369	22098.29758
370	22063.55325
371	22044.82439
372	22013.11288
373	21992.90674
374	21989.72902
375	21976.42966
376	21934.56738
377	21931.86352
378	21928.80868
379	21893.69691
380	21857.46976
381	21828.97218
382	21825.23798
383	21809.86154
384	21806.89194
385	21803.97245
386	21775.29695
387	21750.50516
388	21729.20414
389	21702.57695
390	21672.77878
391	21637.62637
392	21618.5187
393	21596.40184
394	21589.80099
395	21586.95669
396	21566.90698
397	21564.10802
398	21561.35625
399	21525.19089
400	21483.82632
401	21450.15028
402	21408.56327
403	21372.01438
404	21344.24211
405	21324.28923
406	21299.04377
407	21287.41561
408	21252.18626
409	21240.47947
410	21233.49801
411	21206.09175
412	21171.99783
413	21156.79901
414	21154.17576
415	21118.76075
416	21116.17584
417	21104.76185
418	21072.77839
419	21031.92531
420	21029.40893
421	20998.3526
422	20995.5937
423	20957.21285
424	20937.72715
425	20901.3964
426	20872.09855
427	20869.65263
428	20852.60012
429	20838.44573
430	20813.99805
431	20808.36211
432	20781.46227
433	20779.06231
434	20753.1687
435	20724.7841
436	20699.59507
437	20678.44198
438	20662.69655
439	20649.31679
440	20630.47944
441	20614.43857
442	20581.23486
443	20546.66348
444	20537.92278
445	20511.22264
446	20508.942
447	20482.03178
448	20451.91054
449	20420.50883
450	20415.78342
451	20388.00298
452	20355.95953
453	20353.73143
454	20331.73456
455	20321.07548
456	20310.66563
457	20278.97879
458	20276.82923
459	20264.00195
460	20261.72895
461	20239.25225
462	20223.81145
463	20221.71513
464	20208.45622
465	20178.5512
466	20163.40255
467	20135.84667
468	20117.27671
469	20088.95659
470	20057.24344
471	20037.48501
472	20015.04201
473	20012.9833
474	19981.82563
475	19956.93439
476	19940.67795
477	19916.30527
478	19899.85957
479	19897.83031
480	19862.18342
481	19846.00617
482	19826.66569
483	19809.44789
484	19786.4807
485	19784.47066
486	19768.51814
487	19743.03247
488	19722.40241
489	19684.48456
490	19661.21453
491	19642.65144
492	19616.39495
493	19604.90036
494	19586.58783
495	19571.2776
496	19557.28538
497	19536.59275
498	19523.9597
499	19496.08973
500	19485.55463
501	19466.99612
502	19434.16692
503	19410.62896
504	19388.80828
505	19368.96604
506	19344.68665
507	19341.04515
508	19331.08435
509	19306.40462
510	19294.17341
511	19292.31498
512	19269.30842
513	19264.26515
514	19232.39747
515	19216.2973
516	19206.99119
517	19176.99559
518	19155.9952
519	19154.18612
520	19136.99626
521	19120.16839
522	19118.57906
523	19095.08892
524	19086.06179
525	19061.25838
526	19059.50435
527	19057.95726
528	19033.08108
529	18995.63232
530	18972.85223
531	18962.79636
532	18939.91498
533	18909.64465
534	18888.93326
535	18855.2282
536	18836.38387
537	18811.08726
538	18794.9932
539	18767.59466
540	18756.73709
541	18737.35544
542	18715.29504
543	18701.91866
544	18678.87591
545	18656.7523
546	18641.97866
547	18621.79679
548	18604.17728
549	18586.69732
550	18565.57473
551	18541.46396
552	18527.76058
553	18508.21139
554	18493.45921
555	18474.13896
556	18456.71245
557	18448.50828
558	18433.27411
559	18410.00996
560	18394.73389
561	18379.07168
562	18370.1831
563	18350.90511
564	18330.11745
565	18310.60048
566	18288.86472
567	18272.00774
568	18257.05462
569	18238.57677
570	18216.83868
571	18187.43365
572	18174.11764
573	18155.99128
574	18148.2669
575	18143.8185
576	18126.71154
577	18106.77993
578	18101.15758
579	18095.79122
580	18072.57905
581	18058.00637
582	18036.80379
583	18032.28012
584	18008.65545
585	17984.89982
586	17951.83613
587	17950.5251
588	17935.4913
589	17930.7798
590	17920.99898
591	17897.66262
592	17886.22308
593	17866.08233
594	17837.48122
595	17821.47302
596	17818.7406
597	17798.34382
598	17777.85345
599	17759.17024
600	17737.67997
601	17734.90289
602	17732.33848
603	17713.19581
604	17703.50298
605	17676.96368
606	17672.38021
607	17650.23455
608	17627.76085
609	17626.30411
610	17608.08229
611	17604.58952
612	17590.22865
613	17580.0643
614	17559.21316
615	17533.06635
616	17517.15874
617	17490.08291
618	17471.52884
619	17453.53853
620	17434.86638
621	17432.20871
622	17412.54101
623	17411.2273
624	17389.61334
625	17369.31232
626	17356.67629
627	17355.40543
628	17340.27001
629	17331.37711
630	17324.25955
631	17320.55613
632	17303.01561
633	17279.9403
634	17256.42231
635	17255.29058
636	17252.94638
637	17235.64457
638	17233.29692
639	17219.49193
640	17200.06988
641	17197.86784
642	17173.54179
643	17169.55994
644	17159.11082
645	17140.79347
646	17136.27935
647	17126.98142
648	17106.65602
649	17087.80397
650	17067.65127
651	17052.27229
652	17040.59944
653	17039.38823
654	17038.30553
655	17020.24923
656	17003.33678
657	16984.28573
658	16971.09303
659	16951.73141
660	16935.14417
661	16912.89508
662	16890.42622
663	16882.69006
664	16863.30535
665	16839.18458
666	16828.96452
667	16818.29088
668	16817.24163
669	16796.77044
670	16782.43448
671	16781.40984
672	16768.94241
673	16747.53617
674	16728.04906
675	16699.12308
676	16683.19195
677	16682.21321
678	16668.23147
679	16654.69713
680	16641.29594
681	16625.52327
682	16609.54258
683	16600.57685
684	16575.56661
685	16562.10149
686	16541.26537
687	16535.40119
688	16516.1192
689	16493.84643
690	16491.56203
691	16461.4759
692	16459.3091
693	16453.02949
694	16432.10615
695	16412.17367
696	16409.01922
697	16383.72308
698	16366.9485
699	16361.53872
700	16358.4769
701	16347.67972
702	16329.45053
703	16306.50848
704	16288.70396
705	16269.88853
706	16264.6972
707	16261.78047
708	16260.88532
709	16245.53775
710	16226.74684
711	16209.57315
712	16202.11936
713	16175.12369
714	16159.34111
715	16150.41547
716	16142.57321
717	16125.17064
718	16113.74077
719	16096.2847
720	16084.98658
721	16072.85869
722	16065.87796
723	16064.54087
724	16063.66836
725	16040.09945
726	16023.09555
727	16007.50691
728	15991.03795
729	15977.40399
730	15974.23405
731	15970.87024
732	15951.42588
733	15934.45305
734	15933.60353
735	15916.17225
736	15898.4419
737	15884.41365
738	15864.23755
739	15843.90435
740	15831.32083
741	15815.33169
742	15812.21247
743	15800.26768
744	15799.44164
745	15779.8872
746	15769.49892
747	15744.17161
748	15727.30814
749	15725.5061
750	15705.7082
751	15685.45166
752	15676.29873
753	15654.94038
754	15654.14757
755	15652.0596
756	15632.67336
757	15618.61027
758	15604.84036
759	15586.16589
760	15582.18707
761	15561.44507
762	15550.12218
763	15549.43625
764	15541.21471
765	15524.38773
766	15507.72791
767	15493.18105
768	15482.21167
769	15469.73275
770	15453.00885
771	15437.56304
772	15428.46527
773	15413.10465
774	15403.30972
775	15382.42702
776	15372.8497
777	15355.59686
778	15345.39478
779	15333.41109
780	15317.5346
781	15316.09002
782	15315.37185
783	15302.59538
784	15301.89605
785	15284.95095
786	15278.29405
787	15276.77773
788	15270.71766
789	15252.82634
790	15229.13074
791	15225.75583
792	15223.11252
793	15217.1657
794	15197.33731
795	15187.89756
796	15170.02642
797	15158.04753
798	15144.44406
799	15137.99469
800	15136.86434
801	15116.48648
802	15100.56775
803	15091.66818
804	15079.62731
805	15072.72369
806	15061.96835
807	15044.06077
808	15022.98007
809	15015.03107
810	15014.36992
811	15005.05193
812	15004.15664
813	14995.55746
814	14979.57812
815	14968.19426
816	14951.76262
817	14937.61024
818	14918.64445
819	14905.56162
820	14895.50771
821	14882.28635
822	14869.29613
823	14868.20499
824	14846.33342
825	14831.3408
826	14825.75403
827	14811.30047
828	14810.39722
829	14795.87685
830	14786.40559
831	14778.70959
832	14774.31445
833	14758.17366
834	14757.56655
835	14747.73707
836	14731.93463
837	14731.32015
838	14715.86093
839	14699.3249
840	14678.82422
841	14663.14724
842	14660.59942
843	14650.32593
844	14646.78199
845	14628.77879
846	14624.13231
847	14616.64313
848	14606.99157
849	14594.76733
850	14591.5575
851	14590.46182
852	14589.89914
853	14578.61826
854	14570.36817
855	14555.3251
856	14535.08352
857	14522.73823
858	14514.8782
859	14509.23859
860	14494.36406
861	14470.05933
862	14457.63591
863	14451.40837
864	14438.33722
865	14435.06646
866	14427.77716
867	14416.90473
868	14404.70241
869	14399.57276
870	14382.77947
871	14370.33111
872	14357.04504
873	14346.16322
874	14337.79356
875	14335.31846
876	14329.3724
877	14328.55748
878	14328.03104
879	14317.32568
880	14313.05107
881	14292.68317
882	14281.78503
883	14277.23466
884	14262.39844
885	14248.04859
886	14232.09716
887	14224.2203
888	14216.89862
889	14205.60383
890	14205.09891
891	14198.53092
892	14186.15467
893	14185.65809
894	14180.05771
895	14162.00713
896	14153.235
897	14137.62727
898	14133.32783
899	14125.51629
900	14114.11665
901	14108.65587
902	14102.26591
903	14084.6136
904	14068.30144
905	14056.57007
906	14047.04531
907	14043.9506
908	14028.73675
909	14027.85187
910	14021.10238
911	14011.06135
912	14009.855
913	14001.14986
914	13993.34335
915	13979.46412
916	13970.86311
917	13964.89601
918	13962.36808
919	13961.89796
920	13952.59141
921	13942.89418
922	13926.84302
923	13908.2115
924	13905.59582
925	13905.13995
926	13894.1069
927	13886.60341
928	13865.48882
929	13855.05016
930	13839.91851
931	13823.31969
932	13802.51506
933	13798.55135
934	13787.75122
935	13782.98256
936	13769.45738
937	13752.38492
938	13741.57927
939	13732.79688
940	13731.97733
941	13728.73007
942	13720.51262
943	13704.24584
944	13699.30368
945	13687.68617
946	13679.39859
947	13663.71741
948	13642.65763
949	13632.17407
950	13629.63577
951	13615.75284
952	13602.42758
953	13594.27205
954	13590.76651
955	13590.33972
956	13577.94233
957	13577.5343
958	13565.12707
959	13556.01045
960	13550.12227
961	13540.1867
962	13528.81086
963	13520.10074
964	13513.03251
965	13503.57681
966	13491.86205
967	13486.4555
968	13472.12846
969	13459.61387
970	13452.34601
971	13443.95741
972	13438.51894
973	13434.83985
974	13422.85523
975	13416.66267
976	13410.01055
977	13399.91486
978	13388.57973
979	13372.50356
980	13366.93613
981	13355.77864
982	13332.00021
983	13327.37791
984	13323.85392
985	13318.9032
986	13315.26389
987	13306.06399
988	13297.8084
989	13297.15177
990	13283.5285
991	13271.74592
992	13267.43845
993	13255.6054
994	13252.96861
995	13242.03142
996	13227.37439
997	13226.90165
998	13214.85048
999	13213.46032
